Equipment Name,Maker,Type of Maintenance,Frequency,Parts Required
Series 6 SMS6ZCI48E,Bosch,Clean filter,Monthly,None
WDT750SAKZ,Whirlpool,Descale,Quarterly,Descaling solution
KDTM404KPS,KitchenAid,Check spray arms,Bi-monthly,None
G 7316 SCU,Miele,Replace rinse aid,As needed,Rinse aid
GDT665SSNSS,GE,Clean door seal,Monthly,Soft cloth
DW80R9950UG,Samsung,Unclog drain,Bi-annually,None
LDP6810SS,LG,Check water inlet valve,Annually,Replacement valve (if needed)
MDB8959SKZ,Maytag,Inspect hoses,Annually,Replacement hoses (if needed)
FDPC4660AS,Frigidaire,Clean interior,Monthly,All-purpose cleaner
13803,Kenmore,Lubricate hinges,Annually,Food-grade lubricant
Series 4 SMS46MI01G,Bosch,Wipe control panel,Weekly,Microfiber cloth
WDF520PADM,Whirlpool,Clean exterior,Monthly,All-purpose cleaner
KDFE104HPS,KitchenAid,Tighten drain hose,Annually,Screwdriver
G 5000 SC,Miele,Check water hardness,Bi-annually,Water testing kit
GDF630PMMES,GE,Replace detergent dispenser,As needed,Replacement dispenser
DW80R2031US,Samsung,Clean spray arm nozzles,Quarterly,Toothpick or wire
LDF5545ST,LG,Inspect electrical connections,Annually,None
MDB7959SFZ,Maytag,Clean silverware basket,Monthly,Dish soap
FFID2426TS,Frigidaire,Check for leaks,Monthly,None
14573,Kenmore,Replace water inlet hose,Every 5 years,New inlet hose
Series 8 SHXM78Z55N,Bosch,Calibrate sensors,Annually,None
WDT970SAHZ,Whirlpool,Clean drain pump,Bi-annually,None
KDTM384ESS,KitchenAid,Lubricate door latch,Annually,Silicone lubricant
G 7100 SCU,Miele,Update software,As available,None
GDP645SYNFS,GE,Replace leveling legs,As needed,Replacement legs
DW80R7061UG,Samsung,Clean air gap,Quarterly,Bottle brush
LDT7808BD,LG,Descale heating element,Annually,Vinegar solution
MDB7949SDZ,Maytag,Check float switch,Bi-annually,None
FGIP2468UF,Frigidaire,Tighten rack rollers,Annually,Pliers
14009,Kenmore,Replace door gasket,Every 2 years,New door gasket
Series 2 SGE68X55UC,Bosch,Clean cutlery tray,Weekly,Dish soap
WDTA50SAHZ,Whirlpool,Inspect pump impeller,Annually,Flashlight
KDPM604KPS,KitchenAid,Clean water inlet screen,Bi-annually,Small brush
G 5890 SCVi,Miele,Check drain pump,Annually,None
GDT530PSPSS,GE,Replace spray arm bearings,As needed,Replacement bearings
DW80R5060US,Samsung,Clean detergent dispenser,Monthly,Soft brush
LDP6797ST,LG,Inspect heating element,Annually,Multimeter
MDB4949SKZ,Maytag,Clean wash arms,Quarterly,Vinegar solution
FFCD2418US,Frigidaire,Check timer,Annually,None
14702,Kenmore,Lubricate pump motor,Every 2 years,Motor oil
Series 4 SHS863WD5N,Bosch,Replace water softener,As needed,Salt pellets
WDF540PADM,Whirlpool,Clean control panel,Weekly,Microfiber cloth
KDTM354ESS,KitchenAid,Check door balance,Bi-annually,None
G 4228 SCU,Miele,Inspect spray arm seals,Annually,Replacement seals (if needed)
GDF510PGMWW,GE,Clean interior light,As needed,Glass cleaner
DW80J3020US,Samsung,Tighten handle screws,Annually,Screwdriver
LDP6797BM,LG,Check for unusual noises,Monthly,None
MDB8959SKB,Maytag,Clean turbidity sensor,Bi-annually,Soft cloth
FDSH4501AS,Frigidaire,Inspect drain hose,Annually,Flashlight
13479,Kenmore,Replace soap dispenser,As needed,Replacement dispenser
Series 6 SHEM63W55N,Bosch,Check water temperature,Quarterly,Thermometer
WDT730PAHZ,Whirlpool,Clean interior corners,Monthly,Old toothbrush
KDTE334GPS,KitchenAid,Inspect door springs,Annually,None
G 6660 SCVi,Miele,Replace water inlet valve,As needed,New inlet valve
GDF645SSNSS,GE,Clean filter housing,Monthly,Soft brush
DW80R5061US,Samsung,Check for error codes,Monthly,None
LDP6810BD,LG,Inspect drain pump filter,Quarterly,None
MDB7959SKZ,Maytag,Clean door edges,Monthly,Damp cloth
FFID2426TD,Frigidaire,Check water pressure,Bi-annually,Pressure gauge
14573,Kenmore,Inspect control board,Annually,None
Series 8 SHPM88Z75N,Bosch,Replace spray arms,As needed,New spray arms
WDT975SAHV,Whirlpool,Clean silverware basket,Weekly,Dish soap
KDTM404ESS,KitchenAid,Check float switch,Bi-annually,None
G 7366 SCVi,Miele,Inspect door latch,Annually,None
GDP665SYNFS,GE,Clean air gap,Quarterly,Bottle brush
DW80R9950UT,Samsung,Replace rinse aid dispenser,As needed,New dispenser
LDT7808SS,LG,Check for leaks,Monthly,None
MDB8959SKW,Maytag,Clean exterior,Weekly,All-purpose cleaner
FGID2476SF,Frigidaire,Inspect drain hose,Annually,None
14469,Kenmore,Replace detergent dispenser,As needed,New dispenser
Series 6 SHP865ZP5N,Bosch,Check water inlet temperature,Quarterly,Thermometer
WDT730PAHZ,Whirlpool,Clean control panel,Weekly,Microfiber cloth
KDTM354DSS,KitchenAid,Inspect spray arm bearings,Annually,None
G 5890 SCVi,Miele,Replace water softener salt,As needed,Salt pellets
GDT665SGNWW,GE,Clean interior light,As needed,Glass cleaner
DW80R7061UG,Samsung,Tighten handle screws,Annually,Screwdriver
LDP6797ST,LG,Check for unusual noises,Monthly,None
MDB7959SHZ,Maytag,Clean turbidity sensor,Bi-annually,Soft cloth
FFCD2413US,Frigidaire,Inspect drain pump,Annually,Flashlight
13803,Kenmore,Lubricate door hinges,Annually,Food-grade lubricant
Series 4 SHXM4AY55N,Bosch,Check water hardness,Bi-annually,Water testing kit
WDF520PADM,Whirlpool,Clean exterior,Monthly,All-purpose cleaner
KDFE104HBS,KitchenAid,Tighten drain hose,Annually,Screwdriver
G 4228 SCU,Miele,Check rinse aid level,Weekly,None
GDF530PGMWW,GE,Replace detergent dispenser,As needed,Replacement dispenser
DW80J3020US,Samsung,Clean spray arm nozzles,Quarterly,Toothpick or wire
LDF5545BD,LG,Inspect electrical connections,Annually,None
MDB4949SKZ,Maytag,Clean silverware basket,Monthly,Dish soap
FFID2426TS,Frigidaire,Check for leaks,Monthly,None
14009,Kenmore,Replace water inlet hose,Every 5 years,New inlet hose
Series 6 SHX865ZP5N,Bosch,Calibrate sensors,Annually,None
WDT970SAHV,Whirlpool,Clean drain pump,Bi-annually,None
KDTM384ESS,KitchenAid,Lubricate door latch,Annually,Silicone lubricant
G 7100 SCU,Miele,Update software,As available,None
GDP645SYNFS,GE,Replace leveling legs,As needed,Replacement legs
DW80R7061US,Samsung,Clean air gap,Quarterly,Bottle brush
LDT7808BD,LG,Descale heating element,Annually,Vinegar solution
MDB7949SDZ,Maytag,Check float switch,Bi-annually,None
FGIP2468UF,Frigidaire,Tighten rack rollers,Annually,Pliers
14702,Kenmore,Replace door gasket,Every 2 years,New door gasket
Series 2 SGE68X55UC,Bosch,Clean cutlery tray,Weekly,Dish soap
WDTA50SAHZ,Whirlpool,Inspect pump impeller,Annually,Flashlight
KDPM604KPS,KitchenAid,Clean water inlet screen,Bi-annually,Small brush
