"id","question"
"0","What is the recommended frequency for cleaning the filter of a Bosch Series 6 SMS6ZCI48E?"
"0","Are any parts required for the maintenance of a Bosch Series 6 SMS6ZCI48E filter?"
"0","Which brand manufactures the Bosch Series 6 SMS6ZCI48E equipment?"
"0","What type of maintenance is recommended for the Bosch Series 6 SMS6ZCI48E equipment?"
"0","What is the equipment name of the Bosch model SMS6ZCI48E?"
"1","What is the recommended frequency for descaling the WDT750SAKZ?"
"1","What type of maintenance is required for the WDT750SAKZ?"
"1","What parts are required for descaling the WDT750SAKZ?"
"1","Who is the maker of the WDT750SAKZ?"
"1","What is the equipment name of the descaling solution?"
"2","What is the equipment name of the KitchenAid model that requires bi-monthly maintenance?"
"2","Which brand manufactures the KDTM404KPS model that requires checking the spray arms?"
"2","How often is maintenance required for the KDTM404KPS model?"
"2","Are any parts required for the bi-monthly maintenance of the KDTM404KPS model?"
"2","What type of maintenance is needed for the KDTM404KPS model?"
"3","What equipment model requires rinse aid replacement?"
"3","What manufacturer produces the G 7316 SCU model?"
"3","What type of maintenance is needed for G 7316 SCU?"
"3","How often should rinse aid be replaced for G 7316 SCU?"
"3","What parts are required for replacing rinse aid on G 7316 SCU?"
"4","What is the recommended frequency for cleaning the door seal on the GDT665SSNSS?"
"4","Which equipment manufacturer produces the GDT665SSNSS?"
"4","What type of maintenance is suggested for the GDT665SSNSS?"
"4","What parts are required for cleaning the door seal on the GDT665SSNSS?"
"4","How often should the door seal on the GDT665SSNSS be cleaned?"
"5","What is the recommended frequency for unclogging the drain of the Samsung DW80R9950UG?"
"5","Are any specific parts required for the maintenance of the Samsung DW80R9950UG?"
"5","How often should I perform unclogging maintenance on the Samsung DW80R9950UG?"
"5","What type of maintenance is needed for the Samsung DW80R9950UG?"
"5","Which brand manufactures the Samsung DW80R9950UG?"
"6","What is the recommended frequency for checking the water inlet valve on the LDP6810SS?"
"6","Who is the manufacturer of the LDP6810SS equipment?"
"6","What type of maintenance is required for the LDP6810SS equipment?"
"6","Are there any specific parts required for the maintenance of the LDP6810SS?"
"6","How often should the water inlet valve on the LDP6810SS be replaced?"
"7","What is the recommended maintenance for Maytag MDB8959SKZ?"
"7","How often should hoses be inspected for Maytag MDB8959SKZ?"
"7","What parts may be required during maintenance for Maytag MDB8959SKZ?"
"7","What is the maker of the equipment MDB8959SKZ?"
"7","What type of maintenance should be carried out annually on MDB8959SKZ?"
"8","1. What is the recommended frequency for cleaning the interior of the FDPC4660AS equipment?"
"8","2. Which brand manufactures the FDPC4660AS equipment?"
"8","3. What type of maintenance is recommended for the FDPC4660AS equipment?"
"8","4. What parts are required for cleaning the interior of the FDPC4660AS equipment?"
"8","5. How often should the interior of the FDPC4660AS equipment be cleaned?"
"9","What is the recommended frequency for lubricating hinges on equipment 13803?"
"9","What type of maintenance is required for equipment 13803?"
"9","What parts are required for lubricating hinges on equipment 13803?"
"9","Who is the maker of equipment 13803?"
"9","What is the equipment name of id 9?"
"10","What is the recommended maintenance frequency for Series 4 SMS46MI01G?"
"10","What parts are required for wiping the control panel of Series 4 SMS46MI01G?"
"10","Which brand manufactures the Series 4 SMS46MI01G?"
"10","What type of maintenance is recommended for Series 4 SMS46MI01G?"
"10","What equipment name should be used for performing maintenance on Series 4 SMS46MI01G?"
"11","What is the recommended frequency for cleaning the exterior of the Whirlpool WDF520PADM?"
"11","What type of maintenance should be performed on the Whirlpool WDF520PADM?"
"11","What parts are required for cleaning the exterior of the Whirlpool WDF520PADM?"
"11","What is the maker of the equipment model WDF520PADM?"
"11","What is the equipment name for the maintenance procedure that requires all-purpose cleaner?"
"12","What equipment model is KDFE104HPS?"
"12","Which maker produces KDFE104HPS?"
"12","How often should the drain hose be tightened?"
"12","What type of maintenance is needed for KDFE104HPS?"
"12","What tool is required for tightening the drain hose?"
"13","What is the recommended maintenance for the G 5000 SC?"
"13","How often should water hardness be checked for the G 5000 SC?"
"13","Which brand manufactures the G 5000 SC?"
"13","What parts are required for checking water hardness on the G 5000 SC?"
"13","What is the frequency for performing water hardness checks on the G 5000 SC?"
"14","What is the recommended frequency for replacing the detergent dispenser on the GDF630PMMES model by GE?"
